"t","x","y","index_path"
0.05,3.373205397,44.43040732,1
0.1,3.389964951,44.45878343,1
0.15,3.324134661,44.39771805,1
0.2,3.271103315,44.34395886,1
0.25,3.404660185,44.38504126,1
0.3,3.373537672,44.41513002,1
0.35,3.449198014,44.39835949,1
0.4,3.381897842,44.40036876,1
0.45,3.425965236,44.37101125,1
0.5,3.476609572,44.37820196,1
0.55,3.38240493,44.40902832,1
0.6,3.496719585,44.40345501,1
0.65,3.487701856,44.37820619,1
0.7,3.471892541,44.39278865,1
0.75,3.488837435,44.37927572,1
0.8,3.464715731,44.41620137,1
0.85,3.492455588,44.428391,1
0.9,3.437564857,44.39680969,1
0.95,3.488871388,44.41848943,1
1,3.472417184,44.42997591,1
1.05,3.517528602,44.39206046,1
1.1,3.527099381,44.44959268,1
1.15,3.44422725,44.38987741,1
1.2,3.504324135,44.42031559,1
1.25,3.42754821,44.46907893,1
1.3,3.439745247,44.36518279,1
1.35,3.479755417,44.47638718,1
1.4,3.50837791,44.41699737,1
1.45,3.50695149,44.45439542,1
1.5,3.505546433,44.462665,1
1.55,3.457773228,44.49705823,1
1.6,3.472336263,44.44071722,1
1.65,3.372270523,44.45391271,1
1.7,3.400488446,44.48746614,1
1.75,3.429778948,44.57574052,1
1.8,3.359830911,44.55398828,1
1.85,3.326956318,44.55485605,1
1.9,3.350246485,44.51006404,1
1.95,3.355783789,44.53642262,1
2,3.306988326,44.49563308,1
2.05,3.342760855,44.48572751,1
2.1,3.324866153,44.46990969,1
2.15,3.320269042,44.5191428,1
2.2,3.264336365,44.49757396,1
2.25,3.312742883,44.51861003,1
2.3,3.262575494,44.43218841,1
2.35,3.299927559,44.49126305,1
2.4,3.371399436,44.47420376,1
2.45,3.334701645,44.48088908,1
2.5,3.353332883,44.47368689,1
2.55,3.377984754,44.49909821,1
2.6,3.487287479,44.47972573,1
2.65,3.438418738,44.5061591,1
2.7,3.302473358,44.41281507,1
2.75,3.400714497,44.49774064,1
2.8,3.448697329,44.39098565,1
2.85,3.28341267,44.38407902,1
2.9,3.387147324,44.45594843,1
2.95,3.378860376,44.44425607,1
3,3.402359789,44.49164591,1
3.05,3.407589282,44.45604685,1
3.1,3.454338613,44.52242195,1
3.15,3.442808721,44.43816497,1
3.2,3.393870132,44.45433879,1
3.25,3.422234248,44.48717285,1
3.3,3.371421349,44.44557452,1
3.35,3.411851001,44.41878602,1
3.4,3.363336187,44.38775297,1
3.45,3.40236314,44.4690933,1
3.5,3.401601853,44.41314057,1
3.55,3.415541265,44.44847305,1
3.6,3.482265263,44.44800866,1
3.65,3.485355772,44.42775942,1
3.7,3.477410587,44.42251476,1
3.75,3.380234515,44.45874505,1
3.8,3.445719206,44.44323393,1
3.85,3.524014735,44.45524046,1
3.9,3.46442745,44.44744909,1
3.95,3.528156477,44.45201337,1
4,3.463626435,44.46499221,1
4.05,3.457553177,44.51717401,1
4.1,3.454244859,44.45972859,1
4.15,3.473242716,44.51316711,1
4.2,3.488352055,44.43514802,1
4.25,3.49414464,44.41023697,1
4.3,3.51347457,44.47325829,1
4.35,3.454193532,44.46190556,1
4.4,3.493088501,44.45514552,1
4.45,3.448083298,44.40515635,1
4.5,3.483962554,44.42737947,1
4.55,3.38095828,44.41624959,1
4.6,3.415430782,44.47770733,1
4.65,3.441374685,44.49262433,1
